matchid,bo,PlayerId,PlayerName,wardPlaced,wardKilled,visionScore,highestVisionScore,controlWardPurchased
9691,1,3520,FPXXiaolaohu,8,1,15.49,false,4
9691,1,3641,FPXhaoye,12,11,48.29,false,13
9691,1,3547,FPXCare,6,12,38.89,false,4
9691,1,1266,FPXLwx,8,9,24.53,false,1
9691,1,2804,FPXLele,36,10,79.34,false,12
9691,1,2027,WEBiubiu,7,3,27.58,false,5
9691,1,3515,WEHeng,9,10,42.11,false,10
9691,1,3064,WEShanks,14,7,40.49,false,4
9691,1,1470,WEHope,14,10,44.37,false,7
9691,1,3006,WEIwandy,53,7,86.19,false,16
9691,2,2027,WEBiubiu,13,5,41.75,false,4
9691,2,3515,WEHeng,12,9,48.39,false,12
9691,2,3064,WEShanks,7,7,36.12,false,3
9691,2,1470,WEHope,14,12,43.51,false,4
9691,2,3006,WEIwandy,44,5,77.65,false,10
9691,2,3520,FPXXiaolaohu,14,6,37.57,false,5
9691,2,3641,FPXhaoye,11,15,50.65,false,11
9691,2,3547,FPXCare,12,9,42.49,false,9
9691,2,1266,FPXLwx,12,9,37.3,false,3
9691,2,2804,FPXLele,44,10,72.76,false,10
9691,3,3520,FPXXiaolaohu,10,12,55.01,false,6
9691,3,3641,FPXhaoye,12,28,87.48,false,12
9691,3,3547,FPXCare,8,19,75.18,false,7
9691,3,1266,FPXLwx,16,15,55.45,false,5
9691,3,2804,FPXLele,72,15,131.76,false,19
9691,3,2027,WEBiubiu,27,4,45.09,false,10
9691,3,3515,WEHeng,19,16,71.16,false,19
9691,3,3064,WEShanks,16,9,38.0,false,4
9691,3,1470,WEHope,25,24,95.17,false,6
9691,3,3006,WEIwandy,84,14,120.03,false,22
